时间戳,本地时间,ADC值,电压(V),ESP32运行时间(ms)
141709,1970/1/1 08:02:21,354,0.285,141709
160126,1970/1/1 08:02:40,354,0.285,160126
163174,1970/1/1 08:02:43,354,0.285,163174
163191,1970/1/1 08:02:43,4095,3.300,163191
163210,1970/1/1 08:02:43,4095,3.300,163210
163230,1970/1/1 08:02:43,4095,3.300,163230
163251,1970/1/1 08:02:43,4095,3.300,163251
163271,1970/1/1 08:02:43,4095,3.300,163271
163291,1970/1/1 08:02:43,4095,3.300,163291
163311,1970/1/1 08:02:43,4095,3.300,163311
163331,1970/1/1 08:02:43,4095,3.300,163331
163351,1970/1/1 08:02:43,4095,3.300,163351
163371,1970/1/1 08:02:43,3794,3.057,163371
163391,1970/1/1 08:02:43,3729,3.005,163391
163411,1970/1/1 08:02:43,3563,2.871,163411
163431,1970/1/1 08:02:43,3234,2.606,163431
163451,1970/1/1 08:02:43,3309,2.667,163451
163471,1970/1/1 08:02:43,3196,2.576,163471
163491,1970/1/1 08:02:43,3087,2.488,163491
163511,1970/1/1 08:02:43,2985,2.405,163511
163531,1970/1/1 08:02:43,2895,2.333,163531
163552,1970/1/1 08:02:43,2786,2.245,163552
163571,1970/1/1 08:02:43,2692,2.169,163571
163591,1970/1/1 08:02:43,2637,2.125,163591
163611,1970/1/1 08:02:43,2566,2.068,163611
163631,1970/1/1 08:02:43,3725,3.002,163631
163652,1970/1/1 08:02:43,2423,1.953,163652
163673,1970/1/1 08:02:43,4095,3.300,163673
163693,1970/1/1 08:02:43,4095,3.300,163693
163713,1970/1/1 08:02:43,4095,3.300,163713
163733,1970/1/1 08:02:43,4095,3.300,163733
163753,1970/1/1 08:02:43,4095,3.300,163753
163774,1970/1/1 08:02:43,4095,3.300,163774
163794,1970/1/1 08:02:43,4095,3.300,163794
163813,1970/1/1 08:02:43,4095,3.300,163813
163833,1970/1/1 08:02:43,4095,3.300,163833
163853,1970/1/1 08:02:43,4095,3.300,163853
163873,1970/1/1 08:02:43,4095,3.300,163873
163893,1970/1/1 08:02:43,4095,3.300,163893
163914,1970/1/1 08:02:43,3856,3.107,163914
163934,1970/1/1 08:02:43,3538,2.851,163934
163954,1970/1/1 08:02:43,3056,2.463,163954
163975,1970/1/1 08:02:43,3284,2.646,163975
163994,1970/1/1 08:02:43,3176,2.559,163994
164014,1970/1/1 08:02:44,3066,2.471,164014
164035,1970/1/1 08:02:44,2976,2.398,164035
164054,1970/1/1 08:02:44,2883,2.323,164054
164074,1970/1/1 08:02:44,2801,2.257,164074
164094,1970/1/1 08:02:44,2718,2.190,164094
164114,1970/1/1 08:02:44,2583,2.082,164114
164134,1970/1/1 08:02:44,2565,2.067,164134
164154,1970/1/1 08:02:44,2493,2.009,164154
164174,1970/1/1 08:02:44,2428,1.957,164174
164194,1970/1/1 08:02:44,3280,2.643,164194
164214,1970/1/1 08:02:44,3775,3.042,164214
164234,1970/1/1 08:02:44,3922,3.161,164234
164254,1970/1/1 08:02:44,4006,3.228,164254
164275,1970/1/1 08:02:44,4095,3.300,164275
